Date,Total,Cumulative
14-Jan,2,2
21-Jan,0,4
31-Jan,2,8
7-Feb,16,20
14-Feb,42,62
21-Feb,48,110
28-Feb,64,174
7-Mar,58,232
14-Mar,80,312
